chromosome	coordinate	RE_density	HFC
DcoA	43950000	0.03127	non-HFC
DcoA	44050000	0.03282	non-HFC
DcoA	44150000	0.03188	non-HFC
DcoA	44250000	0.03329	non-HFC
DcoA	44350000	0.02789	non-HFC
DcoA	44450000	0.03049	non-HFC
DcoA	44550000	0.02874	HFC
DcoA	44650000	0.03158	HFC
DcoA	44750000	0.03086	HFC
DcoA	44850000	0.02871	HFC
DcoA	44950000	0.02889	HFC
DcoA	45050000	0.02866	HFC
DcoA	45150000	0.03693	HFC
DcoA	45250000	0.03096	HFC
DcoA	45350000	0.02921	HFC
DcoA	45450000	0.02972	HFC
DcoA	45550000	0.03049	HFC
DcoA	45650000	0.02979	HFC
DcoA	45750000	0.03473	HFC
DcoA	45850000	0.0334	HFC
DcoA	45950000	0.03414	HFC
DcoA	46050000	0.03641	HFC
DcoA	46150000	0.03691	HFC
DcoA	46250000	0.03355	HFC
DcoA	46350000	0.03458	HFC
DcoA	46450000	0.03378	HFC
DcoA	46550000	0.02899	HFC
DcoA	46650000	0.02826	HFC
DcoA	46750000	0.03387	HFC
DcoA	46850000	0.0279	HFC
DcoA	46950000	0.02988	HFC
DcoA	47050000	0.03177	HFC
DcoA	47150000	0.02786	HFC
DcoA	47250000	0.03103	HFC
DcoA	47350000	0.0295	HFC
DcoA	47450000	0.03351	HFC
DcoA	47550000	0.02885	non-HFC
DcoA	47650000	0.029468937875751503	non-HFC
DcoA	47750000	0.03094	non-HFC
DcoA	47850000	0.02905	non-HFC
DcoA	47950000	0.02944	non-HFC
DcoA	48050000	0.02772	non-HFC
DcoA	48150000	0.03266	non-HFC
DcoA	48250000	0.02879	non-HFC
DcoA	48350000	0.02653	non-HFC
DcoA	48450000	0.02975	non-HFC
DcoA	48550000	0.03146	non-HFC
DcoA	48650000	0.0332	non-HFC
DcoA	48750000	0.03338	non-HFC
DcoA	48850000	0.03014	non-HFC
DcoA	48950000	0.03064	non-HFC
DcoA	49050000	0.03648	non-HFC
DcoA	49150000	0.03159	non-HFC
DcoA	49250000	0.0322	non-HFC
DcoA	49350000	0.03284	non-HFC
DcoA	49450000	0.03043	non-HFC
DcoA	49550000	0.03438877755511022	non-HFC
DcoA	49650000	0.033	non-HFC
DcoA	49750000	0.03294	non-HFC
DcoA	49850000	0.03402	non-HFC
DcoA	49950000	0.03289	non-HFC
DcoA	50050000	0.03153	non-HFC
DcoA	50150000	0.03056	non-HFC
DcoA	50250000	0.03552	non-HFC
DcoA	50350000	0.0323	non-HFC
DcoA	50450000	0.03172	non-HFC
DcoA	50550000	0.0333	non-HFC
DcoA	50650000	0.034	non-HFC
DcoA	50750000	0.03319	non-HFC
DcoA	50850000	0.03442	non-HFC
DcoA	50950000	0.03464	non-HFC
DcoA	51050000	0.03518	non-HFC
DcoA	51150000	0.03361	non-HFC
DcoA	51250000	0.03641	non-HFC
DcoA	51350000	0.03387	non-HFC
DcoA	51450000	0.03268	non-HFC
DcoA	51550000	0.03365	non-HFC
DcoA	51650000	0.03289	non-HFC
DcoA	51750000	0.03283	non-HFC
DcoA	51850000	0.03274	non-HFC
DcoA	51950000	0.03525	non-HFC
DcoA	52050000	0.03296	non-HFC
DcoA	52150000	0.03436	non-HFC
DcoA	52250000	0.03432	non-HFC
DcoA	52350000	0.03446	non-HFC
DcoA	52450000	0.03505	non-HFC
DcoA	52550000	0.03448	non-HFC
DcoA	52650000	0.03311	non-HFC
DcoA	52750000	0.03661	non-HFC
DcoA	52850000	0.03048	non-HFC
DcoA	52950000	0.03485	non-HFC
DcoA	53050000	0.03605	non-HFC
DcoA	53150000	0.03355	non-HFC
DcoA	53250000	0.0319	non-HFC
