chromosome	coordinate	exon_density	HFC
DcoA	47650000	0.2218436873747495	non-HFC
DcoA	47750000	0.29114	non-HFC
DcoA	47850000	0.14401	non-HFC
DcoA	47950000	0.21333	non-HFC
DcoA	48050000	0.18702	non-HFC
DcoA	48150000	0.28363	non-HFC
DcoA	48250000	0.14309	non-HFC
DcoA	48350000	0.09231	non-HFC
DcoA	48450000	0.23328	non-HFC
DcoA	48550000	0.16867	non-HFC
DcoA	48650000	0.28071	non-HFC
DcoA	48750000	0.17021	non-HFC
DcoA	48850000	0.24546	non-HFC
DcoA	48950000	0.19182	non-HFC
DcoA	49050000	0.20343	non-HFC
DcoA	49150000	0.18252	non-HFC
DcoA	49250000	0.20603	non-HFC
DcoA	49350000	0.25704	non-HFC
DcoA	49450000	0.1716	non-HFC
DcoA	49550000	0.22137274549098196	non-HFC
DcoA	49650000	0.18605	non-HFC
DcoA	49750000	0.23595	non-HFC
DcoA	49850000	0.23694	non-HFC
DcoA	49950000	0.23068	non-HFC
DcoA	50050000	0.22008	non-HFC
DcoA	50150000	0.17909	non-HFC
DcoA	50250000	0.24159	non-HFC
DcoA	50350000	0.17097	non-HFC
DcoA	50450000	0.19116	non-HFC
DcoA	50550000	0.19425	non-HFC
DcoA	50650000	0.25239	non-HFC
DcoA	50750000	0.27015	non-HFC
DcoA	50850000	0.17818	non-HFC
DcoA	50950000	0.29964	non-HFC
DcoA	51050000	0.23729	non-HFC
DcoA	51150000	0.35832	non-HFC
DcoA	51250000	0.25838	non-HFC
DcoA	51350000	0.28504	non-HFC
DcoA	51450000	0.26968	non-HFC
DcoA	51550000	0.23742	non-HFC
DcoA	51650000	0.25209	non-HFC
DcoA	51750000	0.26304	non-HFC
DcoA	51850000	0.22566	non-HFC
DcoA	51950000	0.31979	non-HFC
DcoA	52050000	0.21863	non-HFC
DcoA	52150000	0.29519	non-HFC
DcoA	52250000	0.23499	non-HFC
DcoA	52350000	0.23445	non-HFC
DcoA	52450000	0.25951	non-HFC
DcoA	52550000	0.25449	non-HFC
DcoA	52650000	0.2083	non-HFC
