scaffold_position	fraction_exonic
36750000	0.28263
36850000	0.20277
36950000	0.33237
37050000	0.31497
37150000	0.34212
37250000	0.26793
37350000	0.23089
37450000	0.26869
37550000	0.40079
37650000	0.30311
37750000	0.29631
37850000	0.26225
37950000	0.21958
38050000	0.21062
38150000	0.21852
38250000	0.24057
38350000	0.24753
38450000	0.24447
38550000	0.19141
38650000	0.21515
38750000	0.23559
38850000	0.21795
38950000	0.17179
39050000	0.20957
39150000	0.11039
39250000	0.26077
39350000	0.22809
39450000	0.20337
39550000	0.20004
39650000	0.24343
39750000	0.39893
39850000	0.22381
39950000	0.1906
40050000	0.19678
40150000	0.19866
40250000	0.2938
40350000	0.32254
40450000	0.22528
40550000	0.24384
40650000	0.27534
40750000	0.31893
40850000	0.13395
40950000	0.18298
41050000	0.23449
41150000	0.19533
41250000	0.32955
41350000	0.31625
41450000	0.16832
41550000	0.18723
41650000	0.22928
41750000	0.17272
41850000	0.33573
41950000	0.29538
42050000	0.16623
42150000	0.22266
42250000	0.13495
42350000	0.18939
42450000	0.28852
42550000	0.2791
42650000	0.18744
42750000	0.22648
42850000	0.18107
42950000	0.25308
43050000	0.19965
43150000	0.24219
43250000	0.2825
43350000	0.25816
43450000	0.24206412825651302
43550000	0.17872
43650000	0.18912
43750000	0.25353
43850000	0.18165
43950000	0.20579
44050000	0.30424
44150000	0.20207
44250000	0.31267
44350000	0.21781
44450000	0.215
44550000	0.22697
44650000	0.28672
44750000	0.20172
44850000	0.14719
44950000	0.1862
45050000	0.22482
45150000	0.37817
45250000	0.2303
45350000	0.24803
45450000	0.27155
45550000	0.26595
45650000	0.23256
45750000	0.43743
45850000	0.33782
45950000	0.29595
46050000	0.41381
46150000	0.324
46250000	0.30604
46350000	0.37685
46450000	0.38532
46550000	0.31461
